"","GEOID","cluster_id"
"1",47037013800,"4"
"2",47037013700,"4"
"3",47037012701,"4"
"4",47037016300,"3"
"5",47037016000,"3"
"6",47037015610,"3"
"7",47037015405,"3"
"9",47037010401,"1"
"10",47037012702,"4"
"11",47037018401,"2"
"12",47037018407,"2"
"13",47037019118,"2"
"14",47037010201,"1"
"15",47037010602,"1"
"16",47037011100,"1"
"17",47037013400,"4"
"18",47037013500,"4"
"19",47037017500,"2"
"20",47037012600,"4"
"21",47037011002,"1"
"22",47037010801,"1"
"24",47037018408,"2"
"25",47037010103,"1"
"26",47037010202,"1"
"27",47037010104,"1"
"28",47037010105,"1"
"29",47037010106,"1"
"30",47037013602,"4"
"31",47037019005,"2"
"32",47037019200,"2"
"33",47037019600,"2"
"34",47037019500,"2"
"35",47037019300,"2"
"36",47037019400,"2"
"37",47037018102,"2"
"38",47037017800,"2"
"39",47037018203,"2"
"40",47037015613,"3"
"41",47037019110,"2"
"42",47037015612,"3"
"43",47037010303,"1"
"44",47037018404,"2"
"45",47037010904,"1"
"46",47037018500,"2"
"47",47037018601,"2"
"48",47037011200,"1"
"49",47037011700,"1"
"50",47037011800,"1"
"51",47037010302,"1"
"52",47037016700,"3"
"53",47037018000,"2"
"54",47037014800,"3"
"55",47037012100,"4"
"56",47037010601,"1"
"57",47037015624,"3"
"58",47037017901,"2"
"59",47037018602,"2"
"60",47037010701,"1"
"61",47037012200,"4"
"62",47037015900,"3"
"63",47037017000,"3"
"64",47037015625,"3"
"65",47037018904,"2"
"66",47037011001,"1"
"67",47037015700,"3"
"68",47037011600,"1"
"69",47037010901,"1"
"70",47037016200,"3"
"71",47037016800,"3"
"72",47037017300,"2"
"73",47037018905,"2"
"74",47037013601,"4"
"75",47037010802,"1"
"76",47037016900,"3"
"77",47037017401,"2"
"78",47037017402,"2"
"79",47037013202,"4"
"80",47037013201,"4"
"81",47037018301,"2"
"82",47037018302,"2"
"83",47037010402,"1"
"84",47037010702,"1"
"85",47037011500,"1"
"86",47037018901,"2"
"87",47037018902,"2"
"88",47037015300,"3"
"89",47037019004,"2"
"90",47037018409,"2"
"91",47037018410,"2"
"92",47037015614,"3"
"93",47037010501,"1"
"94",47037019106,"2"
"95",47037015200,"3"
"96",47037015803,"3"
"97",47037015804,"3"
"98",47037015631,"3"
"99",47037015630,"3"
"100",47037015501,"3"
"101",47037015100,"3"
"102",47037015402,"3"
"103",47037015629,"3"
"104",47037015626,"3"
"105",47037011300,"1"
"106",47037013900,"4"
"107",47037015404,"3"
"108",47037015502,"3"
"109",47037015609,"3"
"110",47037015802,"3"
"111",47037015628,"3"
"112",47037015627,"3"
"113",47037015623,"3"
"114",47037015622,"3"
"115",47037015401,"3"
"116",47037017200,"2"
"117",47037018405,"2"
"118",47037018202,"2"
"119",47037014300,"4"
"121",47037016600,"3"
"122",47037019003,"2"
"123",47037019109,"2"
"125",47037019006,"2"
"126",47037017902,"2"
"127",47037010903,"1"
"128",47037011400,"1"
"129",47037014200,"4"
"130",47037019112,"2"
"131",47037019108,"2"
"132",47037015615,"3"
"133",47037019111,"2"
"134",47037019117,"2"
"135",47037018803,"2"
"136",47037010502,"1"
"138",47037019105,"2"
"139",47037015620,"3"
"140",47037019114,"2"
"141",47037015618,"3"
"142",47037017702,"2"
"143",47037012802,"4"
"144",47037011900,"1"
"145",47037012801,"4"
"146",47037018700,"2"
"147",47037016400,"3"
"148",47037017100,"3"
"149",47037015619,"3"
"150",47037015617,"3"
"151",47037013100,"4"
"152",47037018801,"2"
"153",47037016100,"3"
"154",47037017701,"2"
"155",47037019116,"2"
"156",47037019115,"2"
"157",47037018804,"2"
"158",47037018101,"2"
"159",47037018201,"2"
"160",47037013300,"4"
"161",47037010301,"1"
